Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
285,48,170,144,246,128,20,42,315,87,258
219,55,189,190,213,103,11,45,270,73,233
278,39,255,160,228,124,25,37,275,125,216
126,19,165,69,65,51,18,25,131,28,91
86,5,59,22,64,0,18,6,40,26,58
385,107,255,349,280,154,26,54,368,221,364
293,97,161,302,243,113,27,75,289,179,237
260,67,167,225,180,141,42,42,275,120,276
267,62,221,223,265,128,27,49,205,144,226
307,116,296,271,229,180,22,58,316,150,242
150,38,201,98,83,40,34,43,121,71,112
87,13,66,50,68,0,11,10,63,12,44
399,117,339,381,175,165,42,82,429,200,338
161,88,262,234,175,104,20,67,307,231,224
221,72,234,221,124,75,14,84,308,121,240
253,64,259,210,122,80,27,80,247,120,209
224,45,265,208,122,87,27,102,278,113,185
92,23,153,103,32,29,28,28,124,37,69
62,0,46,24,11,0,11,5,40,5,8
238,61,238,247,130,108,34,58,361,119,255
202,40,310,199,75,78,22,44,247,98,135
191,49,233,164,79,66,34,58,261,94,137
196,60,218,175,69,58,22,48,206,100,188
185,43,226,129,81,62,11,58,304,65,171
78,8,170,40,27,24,22,32,83,46,58
61,0,44,17,0,0,5,0,71,0,24
305,36,284,207,143,92,29,92,457,207,217
213,52,279,186,121,80,41,60,324,123,191
233,78,269,200,113,95,30,79,373,135,240
232,46,304,209,105,121,24,93,361,168,187
281,100,315,206,97,132,66,120,375,229,176
145,53,220,90,18,57,6,39,198,78,85
104,22,75,32,13,0,15,11,75,16,38
379,112,418,246,129,99,46,121,522,217,274
303,86,332,305,103,126,43,98,420,156,247
325,80,331,300,82,106,28,69,406,173,188
286,93,335,309,85,98,41,90,310,128,171
277,112,395,343,91,80,24,102,334,153,150
135,44,280,113,15,33,0,34,127,46,70
72,0,108,24,6,0,0,0,63,11,25
339,73,415,357,134,122,31,106,478,209,236
264,66,350,296,76,71,35,127,348,185,253
307,77,370,262,132,90,12,146,311,158,206
278,45,316,328,126,57,32,117,308,167,212
299,65,331,301,111,80,25,158,322,137,184
138,11,197,117,42,27,0,66,152,70,91
101,0,82,49,28,0,0,19,74,27,19
418,54,486,361,164,188,18,187,539,231,295
373,89,447,427,140,140,44,162,382,200,252
345,73,468,385,160,117,53,177,555,137,232
401,89,471,461,154,123,43,180,467,187,248
418,96,477,484,158,131,68,230,484,225,281
187,37,346,228,88,54,24,101,205,97,132
176,34,200,97,35,0,5,25,156,54,51
618,146,651,624,295,162,78,325,864,380,425
531,138,642,593,208,199,81,273,670,256,370
598,144,586,625,186,166,129,286,699,330,447
543,161,670,609,254,241,96,383,674,304,460
591,219,595,653,278,184,116,379,753,323,432
306,85,364,330,117,80,44,276,275,67,219
210,50,202,95,100,0,13,57,100,90,69
807,228,741,683,414,303,158,374,921,434,601
650,181,750,766,327,312,129,535,834,386,547
597,178,723,700,288,267,104,356,800,371,530
651,200,716,762,354,246,148,514,649,345,383
618,194,755,753,333,384,155,426,761,343,431
291,73,412,433,81,132,61,194,314,148,206
197,35,228,63,169,5,36,73,153,82,48
744,167,658,744,414,449,112,416,899,416,509
553,205,536,749,377,292,180,425,620,288,339
484,156,537,657,321,282,119,323,576,238,352
461,147,610,589,290,328,147,354,627,217,265
522,146,554,599,341,279,195,331,626,258,285
205,79,449,311,122,147,53,179,253,111,116
146,38,192,75,73,9,63,78,103,64,62
206,22,233,107,70,7,25,31,149,60,86
622,136,527,678,365,302,101,409,716,304,432
