Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
2958,324,882,730,1260,537,317,353,2157,1683,1535
2559,356,824,667,1138,406,289,281,2046,1542,1569
2345,284,721,600,1040,402,246,282,1940,1430,1381
1857,293,609,519,861,396,181,264,1636,1130,1047
1039,165,386,272,437,133,72,126,863,497,685
835,28,252,71,266,35,33,21,376,273,368
3146,349,881,889,1291,558,218,298,2763,1993,1941
2228,300,732,733,875,513,215,244,1931,1468,1414
2197,334,781,853,879,462,170,281,1833,1428,1418
1977,338,682,765,822,474,213,319,1700,1194,1177
1723,330,641,694,728,453,162,288,1518,1081,1102
850,142,374,321,378,151,81,124,697,385,499
564,43,191,78,197,15,41,33,341,185,225
2536,377,755,991,1061,736,182,293,2261,1710,1620
1663,345,655,878,723,514,272,296,1419,1038,1046
1654,259,646,764,704,512,160,328,1361,996,1051
1545,285,491,779,595,409,158,252,1348,983,966
1298,227,463,701,575,420,145,306,1191,858,815
655,107,274,286,287,137,64,101,532,287,414
567,30,150,84,89,42,45,37,281,196,265
686,32,189,140,315,31,0,42,501,257,287
2071,382,740,1046,916,767,198,370,2046,1423,1377
1328,260,554,844,667,523,208,325,1304,873,841
1158,212,441,728,496,386,152,276,1074,828,696
993,179,384,661,455,397,124,228,969,595,637
446,60,201,233,169,107,29,102,389,178,271
245,18,138,57,80,20,18,21,210,90,71
1541,276,485,743,688,534,126,279,1425,1087,896
1009,196,440,655,397,460,109,216,871,635,560
798,158,400,504,381,303,106,181,877,627,528
682,150,322,551,329,276,112,173,732,596,424
613,164,276,409,290,279,41,139,655,492,372
252,73,185,204,98,103,35,68,308,164,177
183,20,113,24,56,11,6,18,103,37,70
1173,248,471,653,536,439,110,252,1233,1014,689
741,184,449,610,316,395,105,222,842,639,496
722,167,485,485,288,319,93,179,837,601,453
701,195,416,485,253,291,69,167,748,681,423
568,156,410,467,250,297,34,149,663,552,376
265,52,247,139,103,111,21,69,266,141,105
154,15,134,32,47,11,6,18,117,36,63
1051,226,523,564,389,461,72,192,1105,826,690
587,242,459,578,258,338,65,241,642,578,358
575,141,383,444,199,245,65,178,580,396,345
510,123,406,408,183,177,22,113,464,395,281
420,89,300,298,161,161,30,98,381,334,235
120,39,187,124,35,52,0,34,146,62,44
84,0,48,18,12,0,0,8,39,10,25
656,161,361,410,271,252,37,138,613,513,387
389,150,322,295,125,169,40,117,408,280,232
316,99,289,217,124,102,12,104,325,195,208
226,59,216,181,71,65,10,55,252,156,156
209,69,197,184,44,59,5,31,214,134,132
46,25,118,65,15,20,7,15,54,29,68
53,5,28,8,6,0,0,0,21,6,15
266,65,233,235,156,69,23,70,323,244,234
152,48,191,124,33,46,25,27,154,131,124
162,33,151,77,46,44,11,26,163,58,91
43,0,36,8,0,0,0,0,5,8,11
135,45,136,95,19,35,0,33,181,87,92
67,5,68,27,21,14,0,0,54,32,34
22,0,21,5,0,0,0,5,24,8,6
364,94,201,139,159,82,22,55,402,269,236
188,45,197,101,79,47,29,24,251,166,147
203,46,179,122,70,41,22,30,210,132,154
150,27,182,95,50,23,9,22,232,110,127
158,16,143,92,39,14,0,22,182,140,80
47,7,95,35,8,7,5,13,71,17,34
61,0,76,10,16,11,6,0,16,34,35
74,0,91,17,26,6,0,0,83,35,37
505,94,330,186,148,136,22,54,602,404,333
313,100,312,130,99,43,39,16,386,220,205
342,48,218,124,88,63,18,28,384,229,217
345,60,260,95,70,48,39,37,358,182,186
103,10,118,42,26,17,19,22,109,35,76
78,0,46,6,5,7,0,8,55,39,32
796,112,422,234,191,117,43,87,798,463,500
505,104,423,190,119,88,51,44,533,344,348
479,95,405,186,139,66,26,66,536,346,319
445,102,338,226,88,66,43,46,477,305,312
443,67,386,272,123,77,26,59,466,315,348
176,25,224,131,42,17,16,21,151,75,143
124,0,139,40,22,0,9,15,66,28,40
1069,160,522,446,292,176,60,80,1068,659,641
693,134,477,408,233,147,56,52,651,512,490
850,138,543,422,244,144,97,106,769,528,494
821,164,491,381,261,144,80,64,803,527,547
771,139,489,346,281,179,48,82,668,472,447
400,58,324,151,78,50,41,40,327,135,190
273,0,186,45,61,12,6,9,120,74,64
1645,266,835,655,549,349,118,167,1455,961,884
1268,264,722,645,346,276,125,178,1025,722,621
1347,300,789,621,432,236,114,189,1102,785,679
1119,262,783,629,417,293,137,211,1002,669,636
1118,226,715,559,392,311,153,225,987,653,618
497,130,483,240,123,152,23,137,389,300,231
413,22,287,48,111,17,0,20,183,142,129
2251,465,1177,1084,763,539,183,329,2128,1355,1284
1655,414,1088,922,612,570,240,325,1590,1103,946
1747,364,1022,940,617,523,152,412,1477,1157,995
1548,320,980,857,587,519,169,333,1323,1093,946
1281,327,921,879,569,457,121,303,1243,909,773
634,155,489,360,210,150,47,150,502,345,337
394,37,283,61,123,32,6,32,203,186,137
2106,452,1191,1132,889,831,256,433,1978,1448,1396
1428,328,1034,967,668,699,231,370,1338,952,907
1352,287,902,862,640,669,188,310,1215,824,847
1129,278,748,659,419,621,213,240,996,686,677
1008,249,609,597,450,554,190,256,858,616,604
408,87,349,219,113,221,58,80,298,159,238
204,16,178,45,46,47,18,48,98,72,74
1438,257,737,780,555,662,189,270,1174,782,763
784,202,487,562,350,492,163,238,650,510,454
780,183,478,481,328,398,138,218,720,460,437
156,12,168,52,32,35,18,28,102,60,81
794,194,517,495,346,499,153,213,908,551,501
235,53,223,155,142,145,35,60,318,125,151
191,13,111,47,48,28,9,16,143,48,61
1257,226,603,570,509,510,123,230,1282,738,694
703,147,413,490,314,337,137,171,882,409,370
712,157,369,364,289,273,75,126,777,371,356
560,110,294,291,194,249,61,99,709,264,316
542,108,329,283,197,209,30,102,522,265,244
199,43,160,75,41,79,27,48,195,69,83
166,5,75,38,40,12,0,5,91,25,66
996,149,410,433,408,387,63,155,997,467,495
604,85,298,322,226,232,39,139,504,249,263
491,66,292,221,174,185,66,112,434,205,235
359,62,198,295,103,177,27,93,373,175,225
413,62,214,233,104,92,16,53,266,139,180
119,22,86,33,13,47,6,26,75,30,71
73,0,39,16,28,0,7,5,42,5,35
602,66,270,269,272,218,34,109,541,317,377
353,67,202,187,162,113,37,77,372,182,173
324,42,216,178,137,112,19,55,307,114,183
298,51,170,125,150,104,42,84,264,153,196
265,40,156,119,89,105,22,41,205,89,158
93,0,46,52,54,43,0,15,88,30,61
42,0,38,22,16,6,0,14,30,13,25
71,5,37,30,24,19,0,0,59,5,38
540,57,243,227,247,173,42,97,491,257,357
317,50,202,125,99,97,22,54,320,165,160
254,22,159,163,95,46,0,46,265,77,137
216,27,99,96,102,43,31,41,202,77,101
69,5,53,21,12,30,0,16,39,17,49
35,0,12,11,14,0,0,5,28,8,6
393,56,158,159,174,125,37,60,432,211,220
236,23,103,128,83,100,9,28,203,90,100
240,10,135,132,83,53,5,64,181,61,107
175,7,110,91,67,69,7,38,148,65,67
132,30,116,98,82,51,25,21,135,57,58
63,16,43,20,7,8,6,10,39,5,28
41,0,6,7,6,0,0,11,29,13,6
323,39,213,158,120,119,11,34,282,126,179
219,37,122,113,116,68,20,43,160,99,92
242,33,118,100,98,58,7,34,148,87,71
186,39,117,90,72,53,14,35,114,63,106
193,19,120,117,79,38,6,38,128,76,98
67,5,51,28,18,20,5,17,27,16,25
44,0,22,0,0,0,0,0,16,0,12
449,53,186,195,201,115,12,86,287,176,241
237,31,155,165,66,60,51,89,155,47,124
223,42,116,148,117,68,25,87,139,77,112
210,31,153,139,113,52,26,50,121,69,94
170,23,125,109,44,80,23,35,104,85,103
43,0,30,45,10,20,15,22,20,11,15
23,0,21,13,11,0,0,0,23,5,0
476,65,213,230,204,152,42,102,335,284,302
287,42,194,217,136,159,54,89,200,180,168
236,53,138,163,103,128,47,103,181,98,172
243,52,136,164,67,80,36,85,158,107,141
233,32,134,138,103,82,17,61,138,114,77
53,16,38,39,13,19,6,23,26,26,60
44,0,6,0,11,5,0,7,7,13,10
656,76,253,210,268,193,50,122,433,375,330
417,82,160,200,179,123,79,104,223,206,178
456,51,161,201,169,139,35,111,286,197,208
358,74,199,174,161,116,44,122,281,209,216
347,62,174,174,136,125,63,103,200,146,203
102,34,79,51,51,43,21,38,73,40,50
80,0,14,17,18,11,7,14,29,17,27
861,153,296,354,421,252,128,179,621,529,414
550,114,273,274,245,210,94,158,386,332,206
563,101,214,253,235,160,84,133,371,317,251
515,124,248,243,216,192,68,128,389,326,227
357,81,177,255,261,150,75,134,272,250,161
130,20,71,86,71,47,23,35,117,51,61
78,0,22,19,22,15,16,17,42,8,37
926,156,325,447,466,254,94,243,830,597,444
643,181,336,465,309,308,105,188,495,323,331
623,141,253,341,313,254,90,150,459,352,305
475,112,240,284,227,178,72,145,424,293,267
439,111,186,266,253,178,46,123,356,209,195
124,39,103,90,41,60,16,31,87,22,52
100,0,28,5,36,5,10,7,52,19,20
921,126,289,407,433,247,99,191,670,477,477
467,109,259,377,268,251,126,154,400,193,282
420,84,249,250,200,175,81,76,359,160,238
401,75,236,229,224,141,68,99,351,179,209
299,67,186,239,168,160,58,107,299,163,215
79,6,79,61,28,28,26,25,63,13,61
44,0,34,0,21,7,7,6,25,5,17
617,92,256,286,359,193,63,96,561,314,422
256,73,203,191,196,113,32,75,249,113,162
195,36,164,137,142,76,23,64,176,86,171
138,32,130,144,86,58,20,45,188,74,114
127,24,119,126,78,50,17,40,128,57,98
31,6,47,23,19,18,10,5,33,0,8
